,,瘤痢锅龋,瘤痢疙,老矫,乞闭扁柯(∩),弥绊扁柯(∩),,弥绊扁柯矫阿,弥历扁柯(∩),弥历扁柯矫阿老背瞒
,,212,全玫,2002-06-01,19.8,27.7,14:33,14.1,23:51,13.6
,,212,全玫,2002-06-02,20,29.7,15:10,10.6,5:06,19.1
,,212,全玫,2002-06-03,21.2,30.2,14:59,12.3,4:55,17.9
,,212,全玫,2002-06-04,21.2,28.3,15:58,15.6,4:43,12.7
,,212,全玫,2002-06-05,21.1,29.7,15:12,13.1,5:16,16.6
,,212,全玫,2002-06-06,23.7,32,15:02,15.8,4:53,16.2
,,212,全玫,2002-06-07,23.5,32.4,13:43,16.6,5:20,15.8
,,212,全玫,2002-06-08,20.1,27.2,16:55,14.5,4:46,12.7
,,212,全玫,2002-06-09,21.1,29,14:26,13.6,5:49,15.4
,,212,全玫,2002-06-10,21.8,27.7,13:50,16.7,5:36,11
,,212,全玫,2002-06-11,20.5,26.5,17:35,12.5,23:55,14
,,212,全玫,2002-06-12,15.9,26.2,12:20,9,4:50,17.2
,,212,全玫,2002-06-13,18.7,23.5,15:30,15,23:59,8.5
,,212,全玫,2002-06-14,17.9,24.2,14:24,12.3,4:00,11.9
,,212,全玫,2002-06-15,17.6,23.1,15:32,12.8,4:14,10.3
,,212,全玫,2002-06-16,19.3,27.2,16:20,14,1:07,13.2
,,212,全玫,2002-06-17,20.8,29.1,15:16,12.8,5:06,16.3
,,212,全玫,2002-06-18,21.8,29.2,14:15,13.8,5:23,15.4
,,212,全玫,2002-06-19,21.5,28.1,14:55,16.8,4:43,11.3
,,212,全玫,2002-06-20,20.6,26.8,15:46,17.3,23:43,9.5
,,212,全玫,2002-06-21,22,28.7,15:54,16.2,3:01,12.5
,,212,全玫,2002-06-22,20.1,26.6,14:42,15.1,5:41,11.5
,,212,全玫,2002-06-23,16.8,19.2,12:41,14.6,21:46,4.6
,,212,全玫,2002-06-24,14.6,16.6,11:05,13,22:43,3.6
,,212,全玫,2002-06-25,16.1,22.5,14:24,10,23:55,12.5
,,212,全玫,2002-06-26,16.9,27.7,16:38,7.4,3:57,20.3
,,212,全玫,2002-06-27,19.7,29.2,16:23,9.6,5:26,19.6
,,212,全玫,2002-06-28,21.9,30.2,16:56,13.1,5:21,17.1
,,212,全玫,2002-06-29,23.1,31.6,13:45,14.1,5:02,17.5
,,212,全玫,2002-06-30,20.5,29.5,12:39,15.5,5:15,14
,,212,全玫,2002-07-01,22.4,27.7,11:28,17.5,5:12,10.2
,,212,全玫,2002-07-02,23.3,29.2,17:03,19.5,6:40,9.7
,,212,全玫,2002-07-03,24.5,31.7,16:08,19.5,5:41,12.2
,,212,全玫,2002-07-04,25.7,32.7,16:44,19,6:02,13.7
,,212,全玫,2002-07-05,21.3,23.6,0:00,18.8,22:09,4.8
,,212,全玫,2002-07-06,19.6,21.2,13:53,17.5,23:58,3.7
,,212,全玫,2002-07-07,21.6,25.8,13:46,17.2,0:34,8.6
,,212,全玫,2002-07-08,22.2,28.2,15:28,18.1,4:15,10.1
,,212,全玫,2002-07-09,23.1,30.2,16:59,18.1,6:14,12.1
,,212,全玫,2002-07-10,23.2,29.2,13:14,18.2,5:17,11
,,212,全玫,2002-07-11,22.8,30.7,16:09,14.8,4:44,15.9
,,212,全玫,2002-07-12,24.2,29.2,16:36,19.2,5:19,10
,,212,全玫,2002-07-13,23.2,28.2,17:25,21.5,7:26,6.7
,,212,全玫,2002-07-14,22.4,24,9:36,21.7,14:49,2.3
,,212,全玫,2002-07-15,25,30.1,12:29,21.2,5:59,8.9
,,212,全玫,2002-07-16,23.9,28.7,15:28,20.2,22:36,8.5
,,212,全玫,2002-07-17,22.4,29.1,14:15,19.1,3:56,10
